ScanID,Lightsoak (hr),ShortID,Excitation Incidence,Proton Exposure Toggle,CouponID,Partition,CdTe p-Type Dopant,Exposure Toggle,Fluence (# cm^-2),ln(Fluence),Proton Acceleration Voltage (kV),N Rows,Median(Efficiency (%)),Median(Voc (V)),Median(Jsc (mA/cm^2)),Median(Fill Factor (%)),Median(Rs (Ohms *cm^2)),Median(Rshunt (Ohms * cm^2)),Std Dev(Efficiency (%)),Std Dev(Voc (V)),Std Dev(Jsc (mA/cm^2)),Std Dev(Fill Factor (%)),Std Dev(Rs (Ohms *cm^2)),Std Dev(Rshunt (Ohms * cm^2))
180409ac_filmside_pre_0hr.0,0,180409ac,filmside,before,409,ac,Cu,expose,1.00E+11,11,650,36,2.9295,0.795,5.133,70.891,14.0715,2092.218,0.433359225,0.015632968,0.789945899,2.800977545,5.074564354,382.1044948
180409ac_filmside_post_0hr.0,0,180409ac,filmside,after,409,ac,Cu,expose,1.00E+11,11,650,36,2.2035,0.769,3.966,71.612,18.823,1681.9885,0.266176001,0.016346448,0.455195423,2.96794514,3.438017773,242.6208519
180409ac_pre_0hr.0,0,180409ac,sunnyside,before,409,ac,Cu,expose,1.00E+11,11,650,36,17.647,0.8485,28.727,72.0905,1.8925,2197.926,1.24785591,0.009099451,0.949448956,2.659827916,1.014109645,451.2782404
180409ac_post_0hr.0,0,180409ac,sunnyside,after,409,ac,Cu,expose,1.00E+11,11,650,30,17.145,0.841,28.6525,71.1845,3.9595,2202.231,0.581916186,0.003662328,0.421326615,1.51165999,0.600347712,594.5900787
180409ba_filmside_pre_0hr.0,0,180409ba,filmside,before,409,ba,Cu,expose,1.00E+11,11,150,25,2.914,0.794,5.034,73.03,16.643,2116.571,0.113903219,0.002385372,0.205310107,1.47114179,3.055704806,284.7249802
180409ba_filmside_post_0hr.0,0,180409ba,filmside,after,409,ba,Cu,expose,1.00E+11,11,150,25,2.664,0.78,4.588,74.254,18.672,1303.346,0.116068586,0.002818392,0.191691045,0.879058441,1.649733337,133.7376063
180409ba_pre_0hr.0,0,180409ba,sunnyside,before,409,ba,Cu,expose,1.00E+11,11,150,25,17.811,0.849,29.033,72.444,2.019,2368.325,0.345740259,0.001529706,0.404392169,0.756619264,0.128469815,363.5597467
180409ba_post_0hr.0,0,180409ba,sunnyside,after,409,ba,Cu,expose,1.00E+11,11,150,25,17.588,0.845,28.78,72.336,2.067,3082.409,0.29932577,0.001439907,0.408784369,0.528203947,0.138609319,538.4674363
180409bb_filmside_pre_0hr.0,0,180409bb,filmside,before,409,bb,Cu,expose,1.00E+12,12,650,27,3.209,0.797,5.532,73.269,15.899,1822.619,0.194309853,0.002110886,0.279583578,2.503771699,3.221943033,296.7612476
180409bb_filmside_post_0hr.0,0,180409bb,filmside,after,409,bb,Cu,expose,1.00E+12,12,650,27,2.432,0.757,4.54,70.778,20.397,2156.624,0.123095868,0.005442002,0.116239254,3.336143735,1.731220797,359.0089575
180409bb_pre_0hr.0,0,180409bb,sunnyside,before,409,bb,Cu,expose,1.00E+12,12,650,28,17.888,0.849,29.046,72.4695,1.756,2345.5305,0.260263826,0.002006603,0.281845036,0.755907573,0.737577017,493.308805
180409bb_post_0hr.0,0,180409bb,sunnyside,after,409,bb,Cu,expose,1.00E+12,12,650,25,16.343,0.833,28.643,68.127,2.557,2024.896,0.321407566,0.001779513,0.276211586,1.007519657,0.643048282,442.2954512
180409bc_filmside_pre_0hr.0,0,180409bc,filmside,before,409,bc,Cu,expose,1.00E+13,13,1000,25,3.302,0.798,5.702,70.903,15.469,1721.404,0.2670599,0.003246537,0.464515798,3.331500464,5.752184076,215.6283186
180409bc_filmside_post_0hr.0,0,180409bc,filmside,after,409,bc,Cu,expose,1.00E+13,13,1000,25,1.881,0.703,4.033,66.895,22.361,3617.366,0.116295772,0.00237557,0.232136289,1.086888104,3.306453205,516.532469
180409bc_pre_0hr.0,0,180409bc,sunnyside,before,409,bc,Cu,expose,1.00E+13,13,1000,25,17.636,0.847,28.966,72.023,1.884,2201.751,0.473079197,0.002107922,0.35781267,1.373013853,0.774726915,343.2600422
180409bc_post_0hr.0,0,180409bc,sunnyside,after,409,bc,Cu,expose,1.00E+13,13,1000,25,12.793,0.789,26.501,61.343,4.701,569.024,0.342963798,0.002758623,0.374186785,1.151317156,0.779167295,37.67066989
180409bd_filmside_pre_0hr.0,0,180409bd,filmside,before,409,bd,Cu,witness,-,-,-,25,3.228,0.799,5.532,72.767,16.939,1649.829,0.15279411,0.00217945,0.220160192,1.442899021,3.282575849,201.2805329
180409bd_filmside_post_0hr.0,0,180409bd,filmside,after,409,bd,Cu,witness,-,-,-,25,2.788,0.782,4.88,73.683,18.433,1349.65,0.130904456,0.003147486,0.211092894,0.782342323,2.797305568,127.0330493
180409bd_pre_0hr.0,0,180409bd,sunnyside,before,409,bd,Cu,witness,-,-,-,25,17.655,0.846,29.04,72.17,1.764,2209.242,0.49911097,0.001632993,0.661845896,0.721519808,0.652572091,328.1277021
180409bd_post_0hr.0,0,180409bd,sunnyside,after,409,bd,Cu,witness,-,-,-,25,17.514,0.844,28.73,72.513,2.112,2509.854,0.597320983,0.001786057,0.714350339,1.012842285,0.439827144,448.2432474
180409ca_filmside_pre_0hr.0,0,180409ca,filmside,before,409,ca,Cu,expose,1.00E+11,11,1000,25,2.997,0.794,5.094,73.61,16.973,2059.993,0.234653482,0.002706166,0.370103445,1.476709149,2.416275331,257.8103322
180409ca_filmside_post_0hr.0,0,180409ca,filmside,after,409,ca,Cu,expose,1.00E+11,11,1000,25,2.581,0.776,4.479,73.688,18.038,1608.646,0.086796217,0.002709243,0.141891954,0.71426269,0.703328285,113.1694588
180409ca_pre_0hr.0,0,180409ca,sunnyside,before,409,ca,Cu,expose,1.00E+11,11,1000,24,17.617,0.8475,29.0555,72.4885,1.851,2302.069,0.468810451,0.003097159,0.325850256,1.80125577,0.820072779,319.4044252
180409ca_post_0hr.0,0,180409ca,sunnyside,after,409,ca,Cu,expose,1.00E+11,11,1000,24,17.6145,0.844,28.881,72.4975,2.145,2640.618,0.339458005,0.002734641,0.360454662,0.923763238,0.977046047,428.1106634
180409cb_filmside_pre_0hr.0,0,180409cb,filmside,before,409,cb,Cu,expose,1.00E+12,12,150,25,3.186,0.796,5.476,73.318,16.252,1854.721,0.200233722,0.002560599,0.338802878,0.832263566,2.286123646,175.9990945
180409cb_filmside_post_0hr.0,0,180409cb,filmside,after,409,cb,Cu,expose,1.00E+12,12,150,25,2.827,0.765,5.249,70.506,13.243,386.412,0.108176831,0.002318045,0.234466579,0.958562104,1.864214529,44.587319
180409cb_pre_0hr.0,0,180409cb,sunnyside,before,409,cb,Cu,expose,1.00E+12,12,150,25,17.73,0.845,29.008,71.978,1.872,2419.86,0.228117053,0.001914854,0.256353421,0.641034432,0.792004583,396.4160822
180409cb_post_0hr.0,0,180409cb,sunnyside,after,409,cb,Cu,expose,1.00E+12,12,150,25,14.962,0.816,26.642,68.935,4.246,924.434,0.299965693,0.001732051,0.521074451,0.486584052,0.163777715,115.9546139
180409cc_filmside_pre_0hr.0,0,180409cc,filmside,before,409,cc,Cu,witness,-,-,-,25,3.239,0.797,5.618,72.866,16.298,1721.702,0.190561451,0.001577973,0.349999605,1.544019018,2.788600654,229.3908754
180409cc_filmside_post_0hr.0,0,180409cc,filmside,after,409,cc,Cu,witness,-,-,-,25,2.777,0.781,4.797,73.852,18.968,1426.858,0.097463241,0.001748333,0.172956883,0.807332744,2.501983672,125.6295468
180409cc_pre_0hr.0,0,180409cc,sunnyside,before,409,cc,Cu,witness,-,-,-,24,17.4215,0.8465,29.0365,70.0205,3.04,2482.9685,0.585215178,0.012930976,0.33209479,1.612240398,0.788144326,722.7049632
180409cc_post_0hr.0,0,180409cc,sunnyside,after,409,cc,Cu,witness,-,-,-,24,17.9225,0.848,29.066,72.807,3.0855,2417.867,1.098114351,0.005984128,0.3201592,3.584328031,0.914534331,512.2861788
180409cd_filmside_pre_0hr.0,0,180409cd,filmside,before,409,cd,Cu,expose,1.00E+13,13,650,23,3.344,0.8,5.673,73.421,16.29,1619.325,0.21376877,0.001890271,0.353968635,0.939216579,2.080781737,183.1923374
180409cd_filmside_post_0hr.0,0,180409cd,filmside,after,409,cd,Cu,expose,1.00E+13,13,650,23,1.852,0.682,4.123,65.772,26.992,4149.736,0.067789024,0.002590649,0.124373084,1.217085411,3.372847616,591.7711794
180409cd_pre_0hr.0,0,180409cd,sunnyside,before,409,cd,Cu,expose,1.00E+13,13,650,24,17.602,0.846,29.051,72.113,1.79,2527.74,0.413178294,0.001503619,0.517658271,0.779247961,0.287142393,460.6665527
180409cd_post_0hr.0,0,180409cd,sunnyside,after,409,cd,Cu,expose,1.00E+13,13,650,23,11.135,0.764,24.349,59.531,5.368,496.07,0.323639194,0.00290495,0.536974319,0.972459516,0.470393805,37.17965226
180409db_filmside_pre_0hr.0,0,180409db,filmside,before,409,db,Cu,witness,-,-,-,25,2.944,0.796,5.162,72.413,18.246,2442.85,0.221753076,0.003394604,0.456888819,2.305388163,4.260421676,415.5838819
180409db_filmside_post_0hr.0,0,180409db,filmside,after,409,db,Cu,witness,-,-,-,25,2.55,0.777,4.487,73.366,18.854,1631.596,0.11331368,0.003001666,0.181888262,0.859465536,0.642972866,239.2072361
180409db_pre_0hr.0,0,180409db,sunnyside,before,409,db,Cu,witness,-,-,-,25,17.661,0.848,29.128,71.912,1.858,2222.047,0.505637492,0.00150333,0.289880579,1.847949145,0.813979641,460.5646605
180409db_post_0hr.0,0,180409db,sunnyside,after,409,db,Cu,witness,-,-,-,25,17.774,0.846,28.997,72.606,1.739,2348.541,0.301697835,0.001641138,0.272455336,0.873816031,0.524882209,542.7005559
180409dc_filmside_pre_0hr.0,0,180409dc,filmside,before,409,dc,Cu,expose,1.00E+12,12,1000,25,2.939,0.796,5.044,72.636,18.241,2162.821,0.167770677,0.002531139,0.366008083,1.927571406,2.553943968,304.5798501
180409dc_filmside_post_0hr.0,0,180409dc,filmside,after,409,dc,Cu,expose,1.00E+12,12,1000,25,2.038,0.766,3.697,71.721,19.824,2349.058,0.143446889,0.004760952,0.253845636,0.968985469,3.319391958,279.1124303
180409dc_pre_0hr.0,0,180409dc,sunnyside,before,409,dc,Cu,expose,1.00E+12,12,1000,25,17.713,0.85,28.975,71.78,2.035,2141.414,0.679706868,0.006356886,0.268620259,2.124989912,0.661295917,266.614119
180409dc_post_0hr.0,0,180409dc,sunnyside,after,409,dc,Cu,expose,1.00E+12,12,1000,25,17.053,0.838,28.704,70.566,3.918,2280.016,0.368166756,0.001641138,0.252767205,1.09156684,0.497557243,451.3667363
180409dd_filmside_pre_0hr.0,0,180409dd,filmside,before,409,dd,Cu,expose,1.00E+13,13,150,25,2.907,0.793,4.914,74.057,16.229,2353.258,0.335477535,0.004193249,0.521048645,1.700864136,2.016339154,487.6260221
180409dd_filmside_post_0hr.0,0,180409dd,filmside,after,409,dd,Cu,expose,1.00E+13,13,150,24,1.9925,0.7275,4.4155,61.3725,19.073,141.504,0.182494784,0.003368385,0.670327206,3.207003484,0.922266976,17.55783297
180409dd_pre_0hr.0,0,180409dd,sunnyside,before,409,dd,Cu,expose,1.00E+13,13,150,24,18.188,0.847,29.1205,73.3785,3.0955,2258.704,0.398861714,0.004690223,0.275101404,0.962610141,0.966988331,483.3952439
180409dd_post_0hr.0,0,180409dd,sunnyside,after,409,dd,Cu,expose,1.00E+13,13,150,24,10.8065,0.7505,21.088,68.7165,5.397,1344.7135,0.561651832,0.006043172,0.779493309,1.355725694,0.438775303,205.9779937
180410ba_filmside_pre_0hr.0,0,180410ba,filmside,before,410,ba,Cu,witness,-,-,-,25,3.215,0.798,5.476,73.42,16.429,1846.482,0.123374538,0.001053565,0.205378253,2.490201379,3.442253586,155.6748059
180410ba_filmside_post_0hr.0,0,180410ba,filmside,after,410,ba,Cu,witness,-,-,-,25,2.862,0.789,4.881,74.209,14.491,1356.505,0.109512937,0.002173323,0.206500057,0.641742355,0.448028838,138.3563155
180410ba_pre_0hr.0,0,180410ba,sunnyside,before,410,ba,Cu,witness,-,-,-,25,17.789,0.85,29.02,72.232,1.947,2239.67,0.290939467,0.001468559,0.352289881,0.801632089,0.098290166,480.3668678
180410ba_post_0hr.0,0,180410ba,sunnyside,after,410,ba,Cu,witness,-,-,-,25,17.793,0.848,28.876,72.736,1.908,2279.681,0.374691651,0.001854724,0.332048224,1.154314433,0.396212582,379.7075606
180410bb_filmside_pre_0hr.0,0,180410bb,filmside,before,410,bb,Cu,expose,1.00E+12,12,150,25,3.253,0.798,5.567,73.25,16.93,1880.884,0.117679395,0.00145831,0.204382297,0.803324463,0.722260369,144.2516291
180410bb_filmside_post_0hr.0,0,180410bb,filmside,after,410,bb,Cu,expose,1.00E+12,12,150,25,2.781,0.762,5.105,71.1,17.676,420.68,0.111695912,0.002441311,0.255683411,1.133570264,2.627179912,55.57047822
180410bb_pre_0hr.0,0,180410bb,sunnyside,before,410,bb,Cu,expose,1.00E+12,12,150,25,17.715,0.855,28.967,71.569,2.321,2472.495,0.415656942,0.001486607,0.25163451,1.382313994,0.514943767,505.2948363
180410bb_post_0hr.0,0,180410bb,sunnyside,after,410,bb,Cu,expose,1.00E+12,12,150,25,14.948,0.819,26.497,68.52,4.345,919.731,0.361135247,0.001819341,0.489533952,0.690938536,0.749698535,116.3472525
180410bc_filmside_pre_0hr.0,0,180410bc,filmside,before,410,bc,Cu,expose,1.00E+13,13,650,30,3.3145,0.798,5.689,72.562,16.121,1882.2035,0.275333363,0.004922503,0.407101418,3.499284838,2.52734773,315.4319928
180410bc_filmside_post_0hr.0,0,180410bc,filmside,after,410,bc,Cu,expose,1.00E+13,13,650,29,1.802,0.67,4.1,66.079,23.948,4468.346,0.060773362,0.001804483,0.129245966,1.004821519,0.615986507,943.1890846
180410bc_pre_0hr.0,0,180410bc,sunnyside,before,410,bc,Cu,expose,1.00E+13,13,650,30,17.4685,0.853,29.0905,70.596,2.6955,2383.6835,0.396384623,0.002473073,0.279824783,1.320079245,0.306582377,400.890545
180410bc_post_0hr.0,0,180410bc,sunnyside,after,410,bc,Cu,expose,1.00E+13,13,650,24,10.754,0.7605,23.796,59.4585,6.3575,475.4935,0.291596841,0.001142081,0.653937925,0.466515792,0.338217964,78.6276974
180410bd_filmside_pre_0hr.0,0,180410bd,filmside,before,410,bd,Cu,expose,1.00E+11,11,1000,29,3.14,0.8,5.538,71.174,14.209,2153.564,0.37231142,0.002700575,0.458903864,6.303121621,13.08622402,320.0906
180410bd_filmside_post_0hr.0,0,180410bd,filmside,after,410,bd,Cu,expose,1.00E+11,11,1000,29,2.712,0.773,4.797,73.127,15.891,1420.862,0.114050849,0.00336638,0.205198318,1.702912461,0.496341879,143.7408063
180410bd_pre_0hr.0,0,180410bd,sunnyside,before,410,bd,Cu,expose,1.00E+11,11,1000,30,17.744,0.85,29,72.097,1.87,2389.122,0.581182785,0.001888866,0.616432514,1.11497273,0.577554854,590.3106266
180410bd_post_0hr.0,0,180410bd,sunnyside,after,410,bd,Cu,expose,1.00E+11,11,1000,25,17.314,0.842,28.819,71.663,3.931,2651.9,0.411126189,0.001362596,0.40195892,0.862327003,0.488553948,578.6283032
180410ca_filmside_pre_0hr.0,0,180410ca,filmside,before,410,ca,Cu,expose,1.00E+12,12,1000,25,3.251,0.799,5.579,73.259,17.376,1800.328,0.217799694,0.001524248,0.281124036,3.978266862,5.781974912,180.5583508
180410ca_filmside_post_0hr.0,0,180410ca,filmside,after,410,ca,Cu,expose,1.00E+12,12,1000,25,2.802,0.778,4.926,72.729,18.396,1724.049,0.102905977,0.002165641,0.176943475,0.679522462,1.511538639,154.0326933
180410ca_pre_0hr.0,0,180410ca,sunnyside,before,410,ca,Cu,expose,1.00E+12,12,1000,25,17.915,0.853,29.03,72.365,2.497,2282.234,0.655393045,0.000996661,0.383213026,2.127161945,0.750477208,486.46128
180410cb_filmside_pre_0hr.0,0,180410cb,filmside,before,410,cb,Cu,expose,1.00E+13,13,150,25,3.192,0.797,5.572,72.649,17.12,2024.844,0.1639956,0.002612789,0.292865014,1.69519055,3.267472702,274.2961758
180410cb_filmside_post_0hr.0,0,180410cb,filmside,after,410,cb,Cu,expose,1.00E+13,13,150,25,2.362,0.741,4.901,64.84,21.087,166.202,0.083052634,0.001258306,0.290944582,1.874777914,2.460900352,21.98861946
180410cb_pre_0hr.0,0,180410cb,sunnyside,before,410,cb,Cu,expose,1.00E+13,13,150,25,17.229,0.85,29.066,69.982,2.731,2325.802,0.306142004,0.001118034,0.27356017,0.938069839,0.474987017,410.6071021
180410cb_post_0hr.0,0,180410cb,sunnyside,after,410,cb,Cu,expose,1.00E+13,13,150,25,11.846,0.769,22.461,68.845,5.053,1721.825,0.210541152,0.001354006,0.35875218,0.4472736,0.196374107,152.7262481
180410cc_filmside_pre_0hr.0,0,180410cc,filmside,before,410,cc,Cu,expose,1.00E+11,11,650,30,3.249,0.8,5.711,72.5125,17.399,1862.025,0.209368992,0.003520221,0.457424102,3.07726143,3.409328598,206.5506496
180410cc_filmside_post_0hr.0,0,180410cc,filmside,after,410,cc,Cu,expose,1.00E+11,11,650,30,2.8815,0.786,5.0265,73.2745,13.9505,1393.2335,0.123742149,0.005040183,0.214598286,1.253276489,2.223774813,152.2600826
180410cc_pre_0hr.0,0,180410cc,sunnyside,before,410,cc,Cu,expose,1.00E+11,11,650,29,17.79,0.854,28.984,71.857,2.039,2201.264,0.418401627,0.002169538,0.366957327,0.987259967,0.610715687,400.1832378
180410cc_post_0hr.0,0,180410cc,sunnyside,after,410,cc,Cu,expose,1.00E+11,11,650,25,17.589,0.845,28.777,72.119,1.881,2186.656,0.312604452,0.001290994,0.369947631,0.70065237,0.819988035,383.738378
180410cd_filmside_pre_0hr.0,0,180410cd,filmside,before,410,cd,Cu,witness,-,-,-,28,3.2535,0.798,5.6555,72.6485,16.301,1988.4335,0.192578865,0.002441647,0.38110554,1.762118505,1.851931193,210.3114733
180410cd_filmside_post_0hr.0,0,180410cd,filmside,after,410,cd,Cu,witness,-,-,-,30,2.859,0.7915,4.9215,73.2095,15,1411.0715,0.130448338,0.003543652,0.235763716,0.924766043,0.661022214,188.8597645
180410cd_pre_0hr.0,0,180410cd,sunnyside,before,410,cd,Cu,witness,-,-,-,28,17.681,0.846,29.057,72.17,1.8195,2166.5905,0.280675967,0.003333929,0.290278884,0.687618965,0.976090335,507.4798763
180410cd_post_0hr.0,0,180410cd,sunnyside,after,410,cd,Cu,witness,-,-,-,25,17.542,0.843,28.873,72.207,1.878,2372.603,0.309658952,0.003363034,0.280359781,0.740498875,0.833284741,514.0413144
180410da_filmside_pre_0hr.0,0,180410da,filmside,before,410,da,Cu,expose,1.00E+12,12,650,24,3.053,0.797,5.233,73.1295,17.113,2091.283,0.15684274,0.001301476,0.264769793,1.094950307,1.704806619,324.4568866
180410da_filmside_post_0hr.0,0,180410da,filmside,after,410,da,Cu,expose,1.00E+12,12,650,24,2.453,0.764,4.4545,71.5565,17.5955,2302.5515,0.090450954,0.004162462,0.128408648,0.697237151,2.779945328,196.4349692
180410da_pre_0hr.0,0,180410da,sunnyside,before,410,da,Cu,expose,1.00E+12,12,650,25,18.065,0.852,29.164,72.619,1.886,2487.334,0.311556137,0.0012,0.285180691,0.713166243,0.448455319,419.0083395
180410da_post_0hr.0,0,180410da,sunnyside,after,410,da,Cu,expose,1.00E+12,12,650,24,16.69,0.835,28.835,69.4945,3.914,2428.593,0.321925986,0.002200132,0.327871592,0.722990738,0.522679073,516.4428048
180410db_filmside_pre_0hr.0,0,180410db,filmside,before,410,db,Cu,expose,1.00E+13,13,1000,23,3.057,0.795,5.291,72.743,16.25,2066.227,0.167497047,0.001917261,0.300075129,1.806966917,1.420908276,257.0327894
180410db_filmside_post_0hr.0,0,180410db,filmside,after,410,db,Cu,expose,1.00E+13,13,1000,23,1.82,0.706,3.768,68.466,22.342,3851.554,0.081452695,0.002616458,0.156522107,0.790550361,2.024543127,661.3330834
180410db_pre_0hr.0,0,180410db,sunnyside,before,410,db,Cu,expose,1.00E+13,13,1000,25,17.995,0.853,29.163,72.337,2.018,2107.052,0.359396197,0.001194432,0.317128244,1.037858051,0.69150737,547.0112106
180410db_post_0hr.0,0,180410db,sunnyside,after,410,db,Cu,expose,1.00E+13,13,1000,23,13.341,0.794,26.992,62.378,4.993,598.656,1.334610701,0.004532273,0.484938764,5.605519117,2.828661696,117.1967242
180410dc_filmside_pre_0hr.0,0,180410dc,filmside,before,410,dc,Cu,witness,-,-,-,35,3.147,0.795,5.469,72.622,16.001,2103.628,0.234125776,0.004291481,0.418763512,1.33154946,1.584528113,248.7557325
180410dc_filmside_post_0hr.0,0,180410dc,filmside,after,410,dc,Cu,witness,-,-,-,35,2.685,0.785,4.654,73.871,14.248,1604.917,0.148995105,0.003410808,0.253447981,1.242575475,2.762032608,194.2828693
180410dc_pre_0hr.0,0,180410dc,sunnyside,before,410,dc,Cu,witness,-,-,-,36,17.988,0.85,29.171,72.944,3.184,2119.08,0.705121403,0.002693909,1.045654987,1.012538095,0.527746286,326.1103473
180410dc_post_0hr.0,0,180410dc,sunnyside,after,410,dc,Cu,witness,-,-,-,35,17.74,0.85,28.918,72.304,1.817,2169.413,1.021144886,0.004551664,1.101804171,2.87304301,0.988869241,719.8989567
180410dd_filmside_pre_0hr.0,0,180410dd,filmside,before,410,dd,Cu,expose,1.00E+11,11,150,30,3.0675,0.795,5.398,72.1195,16.3885,2027.316,0.247825773,0.005081972,0.404752491,4.608185191,7.33088239,301.3982805
180410dd_filmside_post_0hr.0,0,180410dd,filmside,after,410,dd,Cu,expose,1.00E+11,11,150,30,2.7685,0.781,4.8015,73.4575,18.2625,1253.322,0.117214417,0.005378117,0.186382319,1.236082005,2.676981105,121.6361197
180410dd_pre_0hr.0,0,180410dd,sunnyside,before,410,dd,Cu,expose,1.00E+11,11,150,29,17.929,0.85,29.166,72.303,1.874,2107.203,0.566065652,0.003255915,0.460393706,1.324078611,0.609961478,410.1635836
